Unnamed: 0,ztfname,redshift,redshift_err,source,t0,x0,x1,c,t0_err,x0_err,x1_err,c_err,cov_t0_x0,cov_t0_x1,cov_t0_c,cov_x0_x1,cov_x0_c,cov_x1_c,mwebv,mwr_v,mwebv_err,fitprob,ra,dec,sn_type,sub_type,lccoverage_flag,fitquality_flag,iau_name,frac_fitted,blast_transient_spectroscopic_class,blast_transient_photometric_class,blast_host_name,blast_host_ra_deg,blast_host_dec_deg,blast_host_redshift,blast_host_EBV_MW,blast_local_log_mass_50,blast_local_log_sfr_50,blast_local_log_ssfr_50,blast_local_log_age_50,blast_local_mass_surviving_ratio,blast_global_log_mass_50,blast_global_log_sfr_50,blast_global_log_ssfr_50,blast_global_log_age_50,blast_global_mass_surviving_ratio
100,ZTF18aaobjwr,0.11038691,2.816e-05,z_gal,58236.18836638301,0.000244664,-2.011303058,-0.075619705,0.2056664105366508,1.0248506292672528e-05,0.2760527626222016,0.039586642,-5.75e-07,0.002029624,0.001157062,-1.1e-06,-3.19e-07,0.000903837,0.015558706,3.1,0,0.028544286,174.146216,34.589456,snia-cosmo,norm,1.0,1.0,,98.79518072289156,,,,,,,,,,,,,,,,,
101,ZTF18aaocqhe,0.12196838,0.00042021,z_nonSEDm,58240.74581285489,0.000204202,0.9582395240504632,0.098172294,0.260553596,7.445070857925451e-06,0.3058435593316776,0.035796474,-4.06e-07,0.029287342,0.000593503,-7.59e-07,-2.15e-07,0.00087075,0.024943712,3.1,0,5.549424746176716e-05,199.858072,66.391857,snia,,1.0,1.0,,100.0,,,,,,,,,,,,,,,,,
103,ZTF18aaodnxt,0.03405243,1.527e-05,z_gal,58240.66719364574,0.000375763,-0.116815017,0.3942407532783922,0.171325695,1.4158556743566162e-05,0.1872042531983652,0.037656956,-6.3e-07,0.00794247,0.000840638,-2.98e-07,-4.27e-07,-0.001624491,0.014025602,3.1,0,9.057986331511001e-19,202.017241,34.328767,snia-pec,91bg,1.0,0.0,,100.0,,,,,,,,,,,,,,,,,
106,ZTF18aaommeg,0.11006606,3.454e-05,z_gal,58246.94116709788,0.000360338,1.0092778014410284,0.042740845,0.2168229626768152,1.1496013602736287e-05,0.1305684490880286,0.03169832,-2.59e-07,-0.01277907,0.000362167,-4.12e-08,-2.99e-07,-0.000821745,0.029914748,3.1,0,0.1500615826931261,254.714877,30.184943,snia-cosmo,91t,1.0,1.0,,100.0,,,,,,,,,,,,,,,,,
118,ZTF18aaqcqve,0.11759649,0.0031305,z_snid,58244.762234774105,0.000280772,-0.541072197,-0.040724973,0.1668392600986408,8.769727552873982e-06,0.1523703128299278,0.031554092,-7.43e-08,-0.007661123,2.529831918768312e-05,-7.46e-08,-2.33e-07,-0.00027173,0.011086149,3.1,0,0.560965668,198.097981,47.450729,snia-cosmo,norm,1.0,1.0,,100.0,,,,,,,,,,,,,,,,,
123,ZTF18aaqedfj,0.06232362,2.382e-05,z_gal,58242.28836482328,0.001283062,-0.38024516,-0.159243895,0.1563720454032591,4.317879057128471e-05,0.110514852,0.031069486,9.168341906526184e-07,-0.002999712,-0.001083021,-1.17e-06,-1.06e-06,-0.000406548,0.012584376,3.1,0,0.1779199638598338,206.355047,26.424246,snia-cosmo,norm,1.0,1.0,2018bff,100.0,,,,,,,,,,,,,,,,,
125,ZTF18aaqeygf,0.10278858,0.00286356,z_snid,58253.94554458425,0.000367777,0.7665623244720342,-0.013431046,0.160864525,1.2497079157199473e-05,0.1843497787283902,0.031534467,1.812696975674305e-07,0.013723985,-0.000528904,-6.27e-07,-3.3e-07,0.000735147,0.014606954,3.1,0,0.011420495,200.350029,68.826387,snia-cosmo,norm,1.0,1.0,2018bmv,98.38709677419357,,,,,,,,,,,,,,,,,
126,ZTF18aaqffyp,0.07289707,0.00590593,z_snid,58253.76643506103,0.000711022,0.8537123515657578,-0.008487217,0.045577841,2.0911019304762463e-05,0.045889047,0.026260445,4.054365114392151e-08,-0.000208705,-5.25e-05,-4.87e-08,-4.76e-07,-3.76e-05,0.01856968,3.1,0,0.2405671137447845,231.945012,34.948218,snia-cosmo,norm,1.0,1.0,2018bhr,100.0,,,,,,,,,,,,,,,,,
127,ZTF18aaqfkqh,0.02556128,1.254e-05,z_gal,58193.90000000136,0.002479708,-1.054460046,0.24908742,0.2719481768035621,0.000116746,0.1769755153999615,0.041421979,-1.24e-11,-1.92e-08,-3.32e-10,-6.13e-06,-3.61e-06,-0.001859377,0.026107821,3.1,0,0.7332938647200556,217.603761,11.932566,snia-pec,91bg,0.0,1.0,2018ahq,100.0,,,,,,,,,,,,,,,,,
130,ZTF18aaqgbju,0.09368286,1.967e-05,z_gal,58238.73919288484,0.000773461,0.817581232,0.037949103,0.2044590812693059,2.6618894678291964e-05,0.1664926323639058,0.031328895,6.678535854519991e-07,-0.006173479,-0.001298784,-1.35e-06,-6.37e-07,-0.000445721,0.027459245,3.1,0,0.7011381355033587,236.566628,29.094635,snia,,1.0,1.0,2018bfk,100.0,,,,,,,,,,,,,,,,,
